ASIN,Manufacturer,Name,Price,Product_description,Product_url,Rating,Reviews
B09TPHFMX7,"Vikrant Extrusions, Daman, Vikrant Extrusion, Daman","Shalimar Large Capacity Travel Bag/Storage Bag/Move-in Bags/Duffel Bag - Strong, Durable, Foldable and Water Resistant (Pack of 1) (Blue)",257," ""Shalimar Group"" is a four decade old company based on manufacturing of plastic packaging products used for Retail and Industrial market. In the retail market, we are the leading manufacturer of Storage as well as Travel Bags and Other Utility Bags. We have our presence across India. '",https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-94,4.1 out of 5 stars,542
Fur Jaden,Men,"FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",429," Fur Jaden, inspired by the generation of young achievers. They aim to craft accessories with thoughtful design, good aesthetics and functionality which could accompany many confident men and women who face their urban adventures with effortless charm, cool confidence, and fearless spirit. Traveling is a challenge, be it in search of an adventure or your daily trips to school/college or office. You need an organized backpack to carry your essentials with ease. Fur Jaden brings to you a versatile multi-purpose backpack that won’t just organize your stuff for you but also lets your charge your phone on the go. ",https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-89,3.9 out of 5 stars,"10,504"
B0BX3QFVSM,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",ADISA 31 Ltrs Casual Backpack School College Bag Pack,349,"Light weight and spacious casual backpack with 2 compartments and 1 front easy-access pocket. The front and back of the backpack are fully padded for cushioning. It has organiser for pens, visiting cards, etc along with space for carrying papers, files, books, etc. It is spacious enough to keep all your stuff. It has provision for holding bottles/unmrella on both sides and has adjustable padded shoulder straps for your comfort. The logo of the bag is Reflective so it will glow when light hits it which is a very important safety feature, specially when on road.",https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-36,3.9 out of 5 stars,353
24.89 x 2.03 x 36.07 cm; 340.19 Grams,GX40Q17229,Lenovo 15.6-inch Casual Laptop Briefcase T210,799,,https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5/ref=sr_1_147?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-147,4.2 out of 5 stars,"21,720"
B09TPX22NF,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,399, ,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-35,3.9 out of 5 stars,"1,399"
B07WN833M7,"Lunar's, Akshaya Rubbers, Hebbal Industrial Area, Mysore",Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,849," Lunar Coment 35L Backpack is the ideal school/college/travel bag for your daily needs. It has 3 large compartments, 1 front zippered pocket, 1 side water bottle holder. An anti-theft internal organiser helps to secure your cables, keys and other valuable items. Padded shoulder straps and back panel ease the weight of heavier loads. Top-mounted, padded handle and reinforced haul loop for quick grab Use : College Bag, School Bag, Casual Bag, Stylish Bag, Daily use. ",https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1697642796&sprefix=ba%2Caps%2C283&sr=8-34,4.0 out of 5 stars,"13,852"
B07WKM1YZC,"DZert, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876",DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),229,DZert Provide Premium quality bags which are non-toxic and made up of soft velvet because our priority is to provide best and high-quality bags/ backpack to your kids.,https://www.amazon.in/DZert-School-Backpacks-Cartoon-Marshall/dp/B07WKM1YZC/ref=sr_1_212?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-212,3.7 out of 5 stars,"8,378"
B07V47HHRG,"AirCase, ‎GIZGA ESSENTIALS, M S INNOVATIVE SOLUTIONS LIMITED UNIT-24/7, 7TH FLOOR, GOLDFIELD IND CENTRE, 1 SUI WO ROAD, FOTAN SHATIN, N.T. HONG KONG","AirCase Office Sling Messenger Bag fits Upto 15.6"" Laptop/MacBook, Detachable Shoulder Strap, Waterproof, Shockproof, Spacious Pockets for Office/Travel",999,"
                                                          ",https://www.amazon.in/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG/ref=sr_1_180?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-180,3.5 out of 5 stars,775
B08D7QKCX5,"FREEWILL SPORTS P LTD - PB, 391-392 Leather Complex Kapurthala Road jalandhar,144021 Punjab",Nivia Polyester Pulse Bag,229," The NIVIA Pulse Jr. bag consists of one zippered main bag, 1 front pocket to safely store your cellphone, mini tablet, PSP, wallet, keys, ID card, small   snacks, and other small personal belongings. perfect ideal for outdoor sports (hiking, camping, climbing, cycling, etc.) and travel use. ",https://www.amazon.in/Nivia-5227-Junior-Others-Orange/dp/B08D7QKCX5/ref=sr_1_148?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-148,3.6 out of 5 stars,57
B09H7PK5ML,1,TRUE HUMAN® Anti-Theft backpack with USB charging port and combination Number lock Laptop bag/office bag/travel bag for men and women,499,"Product description Features: Made of durable and Eco-friendly water resistant oxford textile fabric, keep your laptop dry from small rain. Built-in well padded laptop sleeve with elastic velcro strap closure. Soft air permeability padded back cushion shoulder straps make it light and make you all day comfortable. Multiple compartments allow you to keep all of your stuffs secure and organized. Night vision reflective design, which keeps you safe while bicycling at night. A anti-theft zipped pocket for your valuables. This laptop bag can used for daily walk-around, work, school, day trips, vacation, travel, day hikes ,camping etc. What you can put in this laptop backpack? - You can put 2-3 clothes, A4 books, 15.6"" laptop, i-pad, glasses, wallet, keys, earphone, power bank, camera, cell phone and document in the back pack. - You Get What You pay for! Don't compare with cheaply made, Considering the high quality of the material, components, finishing and overall design it is exceptional value for money.",https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_141?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-141,3.8 out of 5 stars,"2,013"
" Cockatoo Sports Pvt Ltd, Cockatoo Sports Pvt Ltd ","
                ‎Biodegradable ","Cockatoo CMP01 OXO-Biodegradable Garbage Bags Medium|Your Ultimate Companion for Campaigning and Traveling|for Keeping Your Adventures Clean and Green,30 Bags/Rollx3,(18.5 X 20.5 Inch)",99,,https://www.amazon.in/Cockatoo-OXO-Biodegradable-Companion-Campaigning-Adventures/dp/B0CF9Q8HPN/ref=sr_1_144?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-144,4.8 out of 5 stars,141
B0BCZSKZLC,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",ADISA Women Girls Flower Print Sling Bag Round Crossbody Purse,409,"Round shaped floral design sling bag with high quality digital print with top zip closure. The sling belt is height adjustable. Inside it has 2 compartments divided with a fabric zipper pocket. This is a new design from ADISA from its latest printed collection. A stylish sling perfect for parties and clubbing, or for casual daily use.",https://www.amazon.in/ADISA-Women-Girls-Flower-Crossbody/dp/B0BCZSKZLC/ref=sr_1_143?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-143,4.0 out of 5 stars,346
B0C85YCDR7,"Safari, Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838","Genie Swirl Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch). Tie-dye print",899,"How do you describe a Perfect Backpack? Spacious enough to carry a lot of stuff, yet Light Weight! Padded Laptop Sleeve to keep it secure and sound. Multiple Pockets to segregate all the items and keep it easily accessible. An Organizer to keep your each and every school supplies in an arranged manner. Side Pocket to keep the Water Bottle. Water Resistant exteriors to keep all your worries at bay and lastly, latest and trendy design to keep those ""Cute Bagpack"" compliment coming in! Yes. We have that Perfect Bag for you, in our Genie store. Bringing you a cute, stylish and trendy design, Genie Swirl School Bag.",https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B0C85YCDR7/ref=sr_1_137?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-137,3.9 out of 5 stars,16
Rushi Enterprise,Unisex-adult,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black,339, ,https://www.amazon.in/DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3/ref=sr_1_142?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-142,3.8 out of 5 stars,"2,612"
 B09321GJXZ ,"
                ‎Texcoco Enterprices, Texcoco Enterprices, 9958166528 ",Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,452, At ,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_138?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-138,4.0 out of 5 stars,"6,876"
DAHSHA Enterprise,Men,DAHSHA Stylish Nylon Small Sling Cross Body Travel Bag for Business Office Messenger One Side Shoulder Carry Handbag Bag For Men & Women (35X18x25 CM-grey),695, ,https://www.amazon.in/DAHSHA-Bag-Business-Messenger-Shoulder/dp/B07GCLJTZF/ref=sr_1_146?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-146,3.9 out of 5 stars,475
 B08K7PCPJV ,"
                ‎Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039 ",Wesley Zenith 16 inch Anti-Theft Backpack with USB Charging Executive Business Office Casual Waterproof Laptop/Office/School/College/Business Bag/Travel Backpack,799,"GREAT GIFT CHOICE The great graduation gifts for college students, high school students, and middle school students Practical gifts ideas for men and women as Valentine's Day Gifts/Anniversary gifts Special day gift for him or her, for your husband / wife / lover / son / daughter / father/mother/friends as Thanks giving Day gifts, Christmas gifts, Birthday gifts for men women As Everyday backpack, Work backpack, Study bookbag, Xl backpack, Business laptop backpack for men women adult teens or daily use at anywhere. How does the Travel Laptop Backpack [Fit 16 Inch Laptop] with multi functional pockets make the stuff organized ? Padded Laptop Compartment: TSA-friendly designed, shockproof padded sleeve compartment fits laptop up to 16 inch * Main Compartment: clothes, travel accessories, books, binders, tech electronic accessories, shoes,etc * Front Easy Access Zippered pockets[ includes divider small pockets ] * Side adjustable net pockets for your compact umbrella and small accessories like bus traffic card * Water bottle pockets: Two mesh pockets on each side fit bottle * Exterior usb port * Top headphone hole. AIRFLOW BACK and LUGGAGE DESIGN With Back U-shaped three-dimensional ventilation design help for the air convection, ventilation, and heat elimination. A luggage strap allows this travel backpack hook to luggage/suitcase. College School Backpack Your Best Choice for the SCHOOL GRADUATION GIFTS and BACK TO SCHOOL supplies. It can be served as a high school backpack for men women, xl backpacks, college bookbags backpack or high school student backpack bag. Spacious Compartment could make your school supplies tidy and organized [ like a laptop, Book, folder, Pencil case, pocketbook, keyboard, mouse and phone charger cable, etc Travel Backpack Perfect for occasional international Travel / Weekend short trip getaways / Airplane travel / Outdoor Hiking Camping Backpack for men women / overnight backpack with the large capacity USB charging backpack",https://www.amazon.in/Wesley-Anti-Theft-backpack-Executive-Waterproof/dp/B08K7PCPJV/ref=sr_1_145?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-145,4.0 out of 5 stars,88
,,ADISA Women's Girls Party Sling Bag Crossbody,309,,https://www.amazon.in/ADISA-Womens-Girls-Party-Crossbody/dp/B0B2WBJ2H8/ref=sr_1_134?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-134,4.0 out of 5 stars,689
,,Skybags CAMPUS GREY LOGO PRINT COLLEGE LAPTOP BACKPACK 30L,"1,363",,https://www.amazon.in/Skybags-CAMPUS-COLLEGE-LAPTOP-BACKPACK/dp/B084258ZD8/ref=sr_1_164?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-164,4.0 out of 5 stars,317
Sfane,Unisex,"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",309,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything. Big Compartment holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",https://www.amazon.in/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9/ref=sr_1_136?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-136,4.2 out of 5 stars,"1,340"
 B08DHSBP9S ,"
                ‎42 litres ",SHALIMAR Premium Oxo - Biodegradable Garbage Bags 24 X 32 Inches (Large) 60 Bags (4 Rolls) Dustbin Bag/Trash Bag - Green Color(Plastic),285," Shalimar garbage bags comes in roll form and in convenient packs of 30 or 15 bags. Each bag has a unique detachable tie-tape to tie the bags after use and for easy disposal. They are tough, thanks to a special type of star seal at the bottom. It comes with a simple perforation technology for quickly separating the bags from the roll. Our Garbage Bags are designed to spread the word of hygiene and cleanliness by easy disposal of waste. These bags offer great flexibility, convenience and ensure a high degree of hygiene, whether at home or in office. Garbage bag is a very useful product for places like Kitchen, Offices, Parties, etc. ",https://www.amazon.in/Shalimar-Premium-OXO-Biodegradable-Garbage/dp/B08DHSBP9S/ref=sr_1_135?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-135,4.5 out of 5 stars,"2,131"
 B07NJ8J98M ,"
                ‎0.23 Kilograms ","Kuber Industries Women's Polyester Embroidered Potli Bag, Maroon (CTKTC04387)",533," Kuber Industries caters to the diverse requirements of the customers by offering premium grade and excellent product range inclusive of ladies garment accessories, home furnishing range, utilities and many other items. Ladies garment accessories adds style and beauty to a women and her ensemble. Garment accessories is a wearer’s delight, as it further highlights women’s personality with the look it adds to your costume. Saree covers, jewelry pouches, makeup kits and hand bags are about defining your fashion statement. So whether it’s antique or stylish it is your choice. Accessories have a wide array of styles and designs. You can have the traditional to the latest designs in garments accessories. ",https://www.amazon.in/Kuber-Industries-Polyester-Embroidered-CTKTC04387/dp/B07NJ8J98M/ref=sr_1_132?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-132,3.6 out of 5 stars,43
B08BTD8YZP,"PUMA, PUMA SPORTS INDIA PVT LTD",PUMA Casual Backpack IND II Black-CASTLEROCK,"1,019"," With a stylish make that is sure to turn heads, the bag is your perfect companion for an active lifestyle. ",https://www.amazon.in/PUMA-Casual-Backpack-IND-Black-CASTLEROCK/dp/B08BTD8YZP/ref=sr_1_131?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-131,4.1 out of 5 stars,279
B0BNBSFC1W,"Boldfit, Bangalore, 560041,support@boldfit.in,08043702806","Boldfit Hot Water Bag Ice bag for Pain Relief Cold Ice Pack Bag for Pain Relief Cold Water Bag for Pain Relief, Injuries, and Cold Therapy Comes with Leak-free Closure - Blue 7.5 Inch",199,"Simply fill the ice pack two-thirds full with ice and water to relieve discomfort from headaches, bruises, muscle aches, and swelling. Discomfort may trouble you anytime, anywhere. Keep a handy ice pack in your offices, cars, or at home for grab-and-go relief from pains. Made of waterproof, safe, and soft-touch rubberized fabric, makes the water stay cold much longer. The Superior Leak-proof Cap with a large opening is for easy filling of ice cubes or crushed ice.",https://www.amazon.in/Boldfit-Injuries-Therapy-Leak-free-Closure/dp/B0BNBSFC1W/ref=sr_1_133?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-133,4.3 out of 5 stars,"2,050"
B08TTMMGYT,"Srinivasa Textiles, Srinivasa Textiles","Amazon Brand – Eono Reusable Tote Bags, 100% Organic Cotton Shopping/Grocery Bag, Multi-Purpose Bag, Sturdy Canvas Bag With 15kgs Capacity, Single Pack (Good Vibes)",179, ,https://www.amazon.in/Amazon-Brand-Reusable-Eco-Friendly-Multi-Purpose/dp/B08TTMMGYT/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-163,3.8 out of 5 stars,"1,232"
B07YFPF4QT,"Stoned Walls, Delhi","FATMUG Foldable Duffel Luggage Bag for Travel, Packing and Storage - Men and Women - 45 L, Black",999," At Fatmug Designs, our prime focus is quality and convenience. Crafted with the water repellent diamond polyester fabric and sturdy hardware,",https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFPF4QT/ref=sr_1_161?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-161,4.3 out of 5 stars,"1,782"
B0BCZSKZLC,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",ADISA Women Girls Flower Print Sling Bag Round Crossbody Purse,409,"Round shaped floral design sling bag with high quality digital print with top zip closure. The sling belt is height adjustable. Inside it has 2 compartments divided with a fabric zipper pocket. This is a new design from ADISA from its latest printed collection. A stylish sling perfect for parties and clubbing, or for casual daily use.",https://www.amazon.in/ADISA-Women-Girls-Flower-Crossbody/dp/B0BCZSKZLC/ref=sr_1_160?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-160,4.0 out of 5 stars,346
,,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit (Navy Blue),489,,https://www.amazon.in/NIVIA-Polyester-Shoulder-Compartment-Accessories/dp/B07NJGW3WX/ref=sr_1_162?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-162,4.0 out of 5 stars,144
B0BWWD1QQQ,"Dyazo, Dyazo F 15 Ground floor okhala Industrial Area New Delhi 110048 Customer care 72700000727",Dyazo Water Resistant Camera Backpack with Extra Front Pocket Photographers Bag with Rain Cover Tripod Holder Compatible for Sony Nikon Canon Panasonic DSLR (Black & Orange),698,". Get your camera on the go with this durable camera backpack. This bag has a grey interior for storing your equipment and possessions, and an adjustable dividers for organization. It also has a tripod holder and a water bottle pocket for hydration purposes.",https://www.amazon.in/Dyazo-Resistant-Photographers-Compatible-Panasonic/dp/B0BWWD1QQQ/ref=sr_1_159?crid=2M096C61O4MLT&keywords=bags&qid=1697642797&sprefix=ba%2Caps%2C283&sr=8-159,4.2 out of 5 stars,733
